epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,731.824,1.07919,1.23424,1.0203,0.75842,0.36815,0.33724,0.24204,1.0969,1.36619,1.05006,0.00029705,0.00029705,0.00029705
43,749.078,1.12682,1.23141,1.03534,0.53784,0.36456,0.34199,0.24332,1.0473,1.36224,1.04432,0.0002921,0.0002921,0.0002921
44,766.307,1.08405,1.20534,1.03847,0.60333,0.35961,0.33396,0.2418,1.06292,1.37156,1.04294,0.00028715,0.00028715,0.00028715
45,783.697,1.08595,1.24803,1.03059,0.46662,0.35552,0.34109,0.24921,1.08129,1.35484,1.03766,0.0002822,0.0002822,0.0002822
46,800.999,1.08622,1.25705,1.03227,0.46572,0.34358,0.33164,0.23692,1.08233,1.38916,1.03984,0.00027725,0.00027725,0.00027725
47,818.44,0.98286,1.18932,0.98993,0.54588,0.34256,0.3372,0.23941,1.06247,1.39448,1.02661,0.0002723,0.0002723,0.0002723
48,835.544,1.01836,1.14994,0.99417,0.46318,0.35844,0.34487,0.24934,1.03642,1.33929,1.03179,0.00026735,0.00026735,0.00026735
49,852.956,1.03322,1.11077,1.00172,0.47646,0.36151,0.3414,0.24484,1.04748,1.30689,1.03362,0.0002624,0.0002624,0.0002624
50,870.339,0.98483,1.13527,0.98672,0.41007,0.35353,0.34321,0.24519,1.04589,1.30812,1.0254,0.00025745,0.00025745,0.00025745
51,887.583,1.00511,1.13347,0.99907,0.40365,0.36701,0.3446,0.25072,1.02689,1.31121,1.01597,0.0002525,0.0002525,0.0002525
52,904.99,1.05274,1.15439,1.00564,0.54251,0.36057,0.34431,0.24771,1.03553,1.27642,1.01218,0.00024755,0.00024755,0.00024755
53,922.77,0.99224,1.10625,0.98771,0.38206,0.32871,0.32919,0.23809,1.02332,1.39852,1.02393,0.0002426,0.0002426,0.0002426
54,940.06,1.0561,1.18452,1.00548,0.45841,0.34742,0.34128,0.24979,0.99901,1.30142,1.00954,0.00023765,0.00023765,0.00023765
55,957.536,1.00599,1.13863,1.00013,0.46076,0.37315,0.34602,0.2499,1.01264,1.31674,1.01015,0.0002327,0.0002327,0.0002327
56,975.125,1.04085,1.23971,1.02968,0.44847,0.35138,0.33892,0.24502,1.01238,1.3349,1.01215,0.00022775,0.00022775,0.00022775
57,992.609,1.02433,1.18557,1.01002,0.60819,0.34337,0.3365,0.24202,1.03985,1.34452,1.01895,0.0002228,0.0002228,0.0002228
58,1009.93,1.03656,1.20397,1.01154,0.61984,0.34198,0.34256,0.2471,1.03121,1.35271,1.01788,0.00021785,0.00021785,0.00021785
59,1027.43,0.97672,1.07298,0.99609,0.56057,0.33975,0.34372,0.24776,1.03173,1.29695,1.02576,0.0002129,0.0002129,0.0002129
60,1045.01,0.97343,1.05691,0.98061,0.54045,0.34581,0.33747,0.23977,1.03766,1.33374,1.01987,0.00020795,0.00020795,0.00020795
61,1062.47,1.02332,1.14639,1.00744,0.53459,0.34204,0.3404,0.24074,1.06082,1.32958,1.03478,0.000203,0.000203,0.000203
62,1079.99,0.97961,1.07727,0.97733,0.60005,0.35241,0.34043,0.24167,1.07674,1.3008,1.0406,0.00019805,0.00019805,0.00019805
63,1097.36,0.99994,1.09682,0.9909,0.6658,0.36556,0.33549,0.24235,1.06052,1.29293,1.02482,0.0001931,0.0001931,0.0001931
64,1114.74,0.99015,1.07128,0.9819,0.4652,0.35811,0.34229,0.24777,1.02618,1.26237,1.01564,0.00018815,0.00018815,0.00018815
65,1132.14,0.9751,1.06302,0.97867,0.5347,0.34891,0.3453,0.24259,1.0837,1.26659,1.02425,0.0001832,0.0001832,0.0001832
66,1149.64,0.98445,1.15785,0.99483,0.53484,0.3669,0.34613,0.25075,1.04174,1.25692,1.02141,0.00017825,0.00017825,0.00017825
67,1167.13,0.93091,0.99285,0.98261,0.54376,0.35293,0.33767,0.24452,1.05385,1.27693,1.02544,0.0001733,0.0001733,0.0001733
68,1184.69,0.96633,1.00964,0.97662,0.61537,0.34813,0.33452,0.23947,1.05169,1.27736,1.02864,0.00016835,0.00016835,0.00016835
69,1202.41,0.98819,1.07525,0.98445,0.59313,0.35081,0.33326,0.23847,1.05414,1.29381,1.02938,0.0001634,0.0001634,0.0001634
70,1220.03,0.97475,1.07363,0.99045,0.59893,0.33935,0.33235,0.23793,1.05493,1.33305,1.04164,0.00015845,0.00015845,0.00015845
71,1237.54,0.94038,1.01172,0.96458,0.62337,0.34974,0.34728,0.25262,1.02821,1.22665,1.02264,0.0001535,0.0001535,0.0001535
72,1255.07,0.94953,1.00147,0.96413,0.61452,0.35937,0.34651,0.25264,1.01702,1.19418,1.01257,0.00014855,0.00014855,0.00014855
73,1272.48,0.90609,1.12796,0.93971,0.61147,0.35637,0.34641,0.24977,1.02368,1.21515,1.01727,0.0001436,0.0001436,0.0001436
74,1289.91,1.01395,1.11253,1.02528,0.66895,0.3616,0.33896,0.24292,1.04791,1.26088,1.03237,0.00013865,0.00013865,0.00013865
75,1307.27,0.93843,1.00487,0.96577,0.68157,0.35732,0.34243,0.24584,1.06582,1.25917,1.04402,0.0001337,0.0001337,0.0001337
76,1324.71,0.98707,1.06058,0.99217,0.68354,0.34471,0.33574,0.2429,1.04999,1.27225,1.03399,0.00012875,0.00012875,0.00012875
77,1342.28,0.92879,1.01099,0.96495,0.61735,0.34824,0.3396,0.24588,1.03874,1.27515,1.02305,0.0001238,0.0001238,0.0001238
78,1359.72,0.94223,0.98857,0.97841,0.68243,0.36351,0.33735,0.248,1.02611,1.26949,1.01463,0.00011885,0.00011885,0.00011885
79,1377.18,0.90769,0.96671,0.96103,0.68593,0.35407,0.33782,0.24613,1.0242,1.27381,1.01659,0.0001139,0.0001139,0.0001139
80,1394.76,0.93112,0.99483,0.96319,0.74977,0.36128,0.33901,0.24686,1.01635,1.25044,1.02413,0.00010895,0.00010895,0.00010895
81,1412.16,0.91305,0.93268,0.96718,0.68281,0.36906,0.34789,0.24955,1.02416,1.23189,1.01843,0.000104,0.000104,0.000104
82,1429.54,0.89724,0.94625,0.96065,0.66951,0.37467,0.34635,0.25303,0.99713,1.23267,1.01044,9.905e-05,9.905e-05,9.905e-05
83,1447.04,0.91671,0.93806,0.94683,0.67588,0.36052,0.33789,0.24848,0.98533,1.23726,1.00507,9.41e-05,9.41e-05,9.41e-05
84,1464.53,0.90707,0.97159,0.96691,0.68184,0.34683,0.32948,0.23902,1.01901,1.27047,1.00815,8.915e-05,8.915e-05,8.915e-05
85,1482.03,0.91172,0.92298,0.95276,0.73789,0.35906,0.33658,0.24192,1.02564,1.26462,1.01763,8.42e-05,8.42e-05,8.42e-05
